Primary_Site,Protocol,Principal_Investigator,Date_Opened,Date_Closed,Study_Phase,Title,Study_Phase_numeric,Code_title,Study_Duration
Lung,I-281616,"dy, g",2017-06-29,2022-02-08,I/II,"A Phase I/II Open-label Study of Nimotuzumab in Combination with Nivolumab
in Patients with Advanced Non-small Cell Lung Cancer or Squamous Head and Neck
Cancer",-1,,1685 days
Lung,I-82319,"dy, g",2020-02-13,2023-01-24,II,Randomized Phase II Study of Pembrolizumab 200mg Every 12Weeks Versus Every 3 Weeks in NSCLC with Clinical Benefit to Pembrolizumab Monotherapy: Multicenter International Study,2,,1076 days
Multiple Sites,P-70918,"dy, g",2019-01-31,2022-09-19,I,"AMG 510 20170543 A Phase 1/2, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Efficacy of AMG 510 Monotherapy in Subjects With Advanced Solid Tumors with KRAS p.G12C  Mutation and AMG 510 Combination Therapy in Subjects With Advanced NSCLC With KRAS p.G12C Mutation  (CodeBreak 100).",1,CodeBreak 100,1327 days
Lung,P-1059120,"dy, g",2021-05-26,2022-04-29,I/II,"MasterKey-01: A Phase 1/2, Open-Label, Two-Part, Multicenter Study to Assess the Safety, Tolerability, Pharmacokinetics and Antitumor Activity of BDTX-189, an Inhibitor of Allosteric ErbB Mutations, in Patients with Advanced Solid Malignancies",-1,,338 days
Lung,P-1794021,"dy, g",2022-06-24,2023-03-01,II,"A Phase 2, Open-Label, Multicenter Study of the Combination of RMC-4630 and Sotorasib for Non-Small Cell Lung Cancer Subjects with KRASG12C Mutation After Failure of Prior Standard Therapies",2,,250 days
Lung,P-61618,"dy, g",2018-10-19,2022-06-25,II,"A Phase 2 Study of Poziotinib in Patients with Non-Small Cell Lung Cancer (NSCLC), Locally Advanced or Metastatic, with EGFR or HER2 Exon 20 Insertion Mutation (ZENITH20)",2,NSCLC,1345 days
Colon; Rectum,I-444019,"fountzilas, c",2019-11-08,2022-09-20,II,"A Phase II Study of TAS-102, Irinotecan and Bevacizumab in Pre-treated Metastatic Colorectal Cancer (TABAsCO)",2,TABAsCO,1047 days
Multiple,P-569719,"fountzilas, c",2021-07-26,2023-02-21,I,"9801-CL-0101 A Phase 1, Open-label Study of ASP9801, an Oncolytic Virus, Administered by Intratumoral 
Injection as a Single Agent and in Combination with Pembrolizumab in Subjects with 
Advanced/Metastatic Solid Tumors",1,,575 days
Stomach,P-58917,"fountzilas, c",2019-01-23,2022-02-23,III,"(ISN 8951-CL-0301) A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362)  Plus mFOLFOX6 Compared with Placebo Plus mFOLFOX6 as First-line Treatment of Subjects with Claudin (CLDN)18.2-Positive, HER2-Negative, Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma",3,ISN 8951-CL-0301,1127 days
Multiple,P-567919,"fountzilas, c",2022-03-30,2023-03-15,I/II,"A PHASE 1/2, OPEN-LABEL, MULTICENTER, NON-RANDOMIZED, SAFETY AND ACTIVITY STUDY OF HER2-TARGETED DUAL SWITCH CAR-T CELLS (BPX-603) IN SUBJECTS WITH PREVIOUSLY TREATED ADVANCED HER2-POSITIVE SOLID TUMORS",-1,BPX-603,350 days
Stomach; Esophagus,P-71618,"fountzilas, c",2020-08-11,2023-02-22,II,"(HCRN ESO17-325) A Phase II Study Evaluating Safety and Efficacy of Niraparib in Patients with Previously Treated Homologous Recombination (HR) Defective or Loss of Heterozygosity (LOH) high Metastatic
Esophageal/Gastroesophageal Junction/Proximal Gastric Adenocarcinoma",2,HCRN ESO17-325,925 days
Corpus Uteri,N-517719,"frederick, p",2020-01-23,2022-12-06,III,"NRG-GY018, A Phase III Randomized, Placebo-Controlled Study of Pembrolizumab (MK-3475) in addition to Paclitaxel and Carboplatin for Measurable Stage III or IVA, Stage IVB or Recurrent Endometrial Cancer",3,MK-3475,1048 days
Breast,I-61918,"gandhi, s",2019-04-24,2022-10-20,II,A Multicenter Phase II Study of Vaccines to Prevent Recurrence in Patients with HER-2 Positive Breast Cancer,2,,1275 days
Breast,I-68018,"gandhi, s",2019-02-12,2022-02-15,II,"A Single Arm Phase II Study to evaluate Efficacy of T-DM1 with Palbociclib In The 
Treatment of Patients With Metastatic HER2 Positive Breast Cancer",2,,1099 days
Breast,I-73718,"gandhi, s",2019-12-06,2023-02-21,I,Phase I Clinical Trial Assessing the Combination of Chemokine Modulation with Neoadjuvant Chemotherapy in Triple Negative Breast Cancer,1,,1173 days
Multiple Sites,P-78818,"gandhi, s",2019-07-03,2022-09-08,I,(ALKS 4230-001) A Phase 1/2 Study of ALKS 4230 Administered Subcutaneously as Monotherapy and in Combination With Pembrolizumab in Subjects With Advanced Solid Tumors - ARTISTRY-2 (001),1,ALKS 4230-001,1163 days
Multiple Sites,P-74818,"gandhi, s",2019-08-01,2022-01-21,I,"A Phase 1 Study with Expansion Cohorts to Assess the Safety, Tolerability, and Activity of Eribulin ORA (HM30181A + Eribulin) in Subjects with Solid Tumors (ATX-ERB-001)",1,HM30181A + Eribulin,904 days
Kidney,P-1471721,"george, s",2022-05-23,2022-12-21,I/II,"A PHASE 1B/2 STUDY OF AVB-S6-500 IN COMBINATION WITH CABOZANTINIB, AVB-S6-500 IN COMBINATION WITH CABOZANTINIB AND NIVOLUMAB, AND AVB-S6-500 MONOTHERAPY IN PATIENTS WITH ADVANCED OR METASTATIC CLEAR CELL RENAL CELL CARCINOMA",-1,,212 days
Kidney,P-42016,"george, s",2017-11-29,2022-02-21,III,A Phase 3 Randomized Study Comparing Nivolumab and Ipilimumab Combination vs Placebo in Participants with Localized Renal Cell Carcinoma Who Underwent Radical or Partial Nephrectomy and Who Are at High Risk of Relapse,3,,1545 days
Bladder; Kidney,P-615220,"george, s",2021-04-26,2022-10-31,II,Pan Tumor Study for Long Term Follow-up of Cancer Survivors Who Have Participated in Trials Investigating Nivolumab,2,,553 days
Kidney,P-844420,"george, s",2021-06-29,2022-12-21,III,"A Phase 3, Open-label, Randomized, Non-Inferiority Trial of Subcutaneous (SC) versus Intravenous (IV) Nivolumab in Advanced, or Metastatic Clear-Cell Renal Cell Carcinoma (RCC) Who Have Received Prior Anti-Angiogenic Therapy",3,SC,540 days
Bladder,P-834720,"george, s",2021-12-23,2022-10-31,III,A Randomized Open-Label Phase III Study of Sacituzumab Govitecan versus Treatment of Physician's Choice in Subjects with Metastatic or Locally Advanced Unresectable Urothelial Cancer,3,,312 days
Multiple,P-57417,"george, s",2018-04-17,2022-10-25,I,SGN22E-002 A study of enfortumab vedotin (ASG-22CE) as monotherapy or in combination with other anticancer therapies for the treatment of urothelial cancer,1,ASG-22CE,1652 days
Kidney,P-777920,"george, s",2021-09-30,2023-02-20,I,A Phase 1/ 1b Study of SRF388 in Patients with Advanced Solid tumors,1,,508 days
Non-Hodgkin's Lymphoma,P-1303721,"ghione, p",2022-04-12,2022-10-11,II,"An Open-Label, Phase 2 Trial of Nanatinostat in Combination with Valganciclovir in Patients with Epstein-Barr Virus-Positive (EBV+) Relapsed/Refractory Lymphomas ( NAVAL-1 )",2,EBV+,182 days
Other Urinary,N-1353721,"gopalakrishnan, d",2021-08-30,2022-11-29,III,(A031901) DURATION OF IMMUNE CHECKPOINT THERAPY IN LOCALLY ADVANCED OR METASTATIC UROTHELIAL CARCINOMA: A RANDOMIZED PHASE 3 NON-INFERIORITY TRIAL (IMAGINE),3,A031901,456 days
Myeloid and Monocytic Leukemia,I-54017,"griffiths, e",2017-10-17,2022-09-16,IV,Evaluation of antibody response to high-dose seasonal influenza vaccination in patients with myeloid malignancy receiving chemotherapy,4,,1795 days
Prostate,P-78418,"griffiths, e",2019-11-25,2022-10-31,I/II,"A randomized, Open-Label, Phase 1-2 Study of ASTX727 Low Dose (ASTX727 LD) Extended Schedule in Subjects with Lower Risk (IPSS Low or Intermediate-1) Myelodysplastic Syndromes (MDS)",-1,ASTX727 LD,1071 days
Soft Tissue,N-979720,"gupta, a",2021-05-07,2022-12-27,II,"(A091902) A Multicenter Phase II Trial of Paclitaxel With and Without Nivolumab in Taxane Naïve, and Nivolumab and Carbozantinb in Taxane Pretreated Subjects With Angiosarcoma",2,A091902,599 days
Lymphoid Leukemia,N-563819,"hernandez, f",2020-08-12,2022-10-04,II/III,A051701Randomized phase II/III study of venetoclax (ABT 199) plus chemoimmunotherapy for MYC/BCL2 double-hit and double-expressing lymphomas,-1,ABT 199,783 days
Other Hematopoietic,N-83919,"hernandez, f",2019-04-22,2022-07-06,III,(A041702) A Randomized Phase III Study of Ibrutinib Plus Obinutuzumab Versus Ibrutinib Plus Venetoclax and Obinutuzumab in Untreated Older Patients (= 65 Years of Age)With Chronic Lymphocytic Leukemia,3,A041702,1171 days
Non-Hodgkin's Lymphoma; Lymphoid Leukemia,I-69018,"hernandez, f",2019-03-08,2022-01-06,I,"A Phase I Study of pevonedistat (MLN4924, TAK924) in combination with ibrutinib in patients with relapsed/refractory chronic lymphocytic leukemia and non-Hodgkin lymphoma",1,"MLN4924, TAK924",1035 days
Non-Hodgkin's Lymphoma,P-809820,"hernandez, f",2021-11-16,2023-02-21,III,"A Phase 3, multicenter, randomized, double-blind, placebo- controlled trial comparing the efficacy and safety of Tafasitamab plus Lenalidomide in addition to R-CHOP versus R-CHOP in previously untreated, high-intermediate and high- risk patients with newly diagnosed Diffuse Large B-Cell Lymphoma (DLBCL)",3,DLBCL,462 days
Multiple Myeloma,I-47217,"hillengass, j",2018-06-25,2022-08-26,II,Phase II Study of Targeting CD28 in Multiple Myeloma with Abatacept (CTLA4-Ig) to Overcome Resistance to Chemotherapy,2,CTLA4-Ig,1523 days
Multiple Myeloma,I-247913,"hillengass, j",2016-03-09,2022-06-21,I,"A Phase I Study of Safety, Tolerability and Immunological Effects of SVN53-67/M57-KLH in  patients with Multiple Myeloma Receiving Lenalidomide Maintenance Therapy",1,,2295 days
Multiple Myeloma; Other Hematopoietic,P-432519,"hillengass, j",2019-12-10,2022-08-12,I,"A PHASE 1, MULTICENTER, OPEN-LABEL, DOSE FINDING STUDY OF CC-99712, A BCMA ANTIBODYDRUG CONJUGATE, IN SUBJECTS WITH RELAPSED AND REFRACTORY MULTIPLE MYELOMA",1,,976 days
Multiple Myeloma,P-550219,"hillengass, j",2020-06-11,2023-02-21,II,"A Phase 2, Multicohort Open-Label Study of JNJ-68284528, a Chimeric Antigen Receptor T cell (CAR-T) Therapy Directed Against BCMA in Subjects with Multiple Myeloma",2,CAR-T,985 days
Multiple,I-40916,"ho, c",2017-12-07,2022-09-02,II,A PHASE II TRIAL OF HAPLOIDENTICAL ALLOGENEIC STEM CELL TRANSPLANTATION UTILIZING MOBILIZED PERIPHERAL BLOOD STEM CELLS.,2,,1730 days
Multiple Sites,I-44417,"ho, c",2017-08-03,2023-02-22,I/II,A Phase Ib/2 Trial of Fludarabine/Melphalan/Total Body Irradiation with Post Transplant Cyclophosphamide as Graft versus Host Disease Prophylaxis in Matched-Related and Matched-Unrelated Allogeneic Hematopoietic Cell Transplantation,-1,,2029 days
Multiple,N-641920,"iyer, r",2020-08-12,2022-09-09,II,"EA2187,  A Phase 2 Study of Pevonedistat in Combination with Carboplatin and Paclitaxel in Advanced Intrahepatic Cholangiocarcinoma",2,,758 days
Liver,P-521819,"iyer, r",2020-09-04,2022-09-02,I/II,"A Phase 1b/2, Open-Label, Study of Tivozanib in Combination with Durvalumab in Subjects with  Advanced Hepatocellular Carcinoma",-1,,728 days
Lung,N-1527721,"jain, p",2021-07-19,2022-05-20,II,"S1900E, A PHASE II STUDY OF SOTORASIB (AMG 510) IN PARTICIPANTS WITH PREVIOUSLY TREATED STAGE IV OR RECURRENT KRAS G12C MUTATED NON-SQUAMOUS NON-SMALL CELL LUNG CANCER (LUNG-MAP SUB-STUDY)",2,AMG 510,305 days
Hodgkin's Lymphoma,N-529719,"kelly, k",2019-12-20,2022-12-01,III,"(S1826) A PHASE III, RANDOMIZED STUDY OF NIVOLUMAB (OPDIVO) PLUS AVD OR BRENTUXIMAB VEDOTIN (ADCETRIS) PLUS AVD IN PATIENTS (AGE >/= 12 YEARS) WITH NEWLY DIAGNOSED ADVANCED STAGE CLASSICAL HODGKIN LYMPHOMA (NCT03907488)",3,S1826,1077 days
Lymphoid Leukemia,I-43517,"kelly, k",2017-09-01,2022-09-12,III,DFCI ALL Consortium 16-001: Treatment of Newly Diagnosed Acute Lymphoblastic Leukemia in Children and Adolescents,3,,1837 days
Hodgkin's Lymphoma,P-489819,"kelly, k",2020-03-03,2022-07-28,II,"An Open-label, Uncontrolled, Multicenter Phase II Trial of MK-3475 (Pembrolizumab) in Children and Young Adults with Newly Diagnosed Classical Hodgkin Lymphoma with Inadequate (Slow Early) Response to Frontline Chemotherapy (KEYNOTE 667)",2,Pembrolizumab,877 days
Prostate,N-509819,"kuettel, m",2019-12-16,2022-05-11,II,"NRG-GU007,RANDOMIZED PHASE II TRIAL OF NIRAPARIB WITH STANDARD COMBINATION RADIOTHERAPY AND ANDROGEN DEPRIVATION THERAPY (ADT) IN HIGH RISK PROSTATE CANCER (WITH INITIAL PHASE I) (NADIR*)
*Randomized Phase II Trial of Niraparib With Standard Combination Androgen DeprIvation Therapy (ADT) and Radiotherapy In High Risk Prostate Cancer (With Initial Phase I)",2,ADT,877 days
Esophagus,I-283516,"kukar, m",2016-12-30,2022-07-15,II,"Double-arm, Randomized Study of Botulinum Toxin Injection as a Pyloric Drainage Procedure for Minimally Invasive Esophagectomy (Phase II)",2,Phase II,2023 days
Other Female Genital; Ovary,N-55817,"lele, s",2018-03-08,2022-09-22,III,"(NRG-GY006) A Randomized phase III trial of radiation therapy and cisplatin alone or in combination with intravenous triapine in women with newly diagnosed bulky stage IB2, or stage II, IIIB, or IVA cancer of the uterine cervix or stage II-IVA vaginal cancer",3,NRG-GY006,1659 days
Breast,NCG-245113,"levine, e",2014-04-08,2022-07-01,III,(A011202) A Randomized Phase III Trial Comparing Axillary Lymph Node Dissection to Axillary Radiation in Breast Cancer Patients (cT1-3 NI) Who Have Positive Sentinel Lymph Node Disease After Neoadjuvant Chemotherapy,3,A011202,3006 days
Breast,N-431719,"levine, e",2019-07-08,2022-05-20,III,"NRG-BR004,""A Randomized, Double-Blind, Phase III Trial of 
Taxane/Trastuzumab/Pertuzumab with Atezolizumab or Placebo in First-Line 
HER2-Positive Metastatic Breast Cancer,"" (NCT03199885)",3,NCT03199885,1047 days
Breast,N-50117,"levine, e",2017-07-27,2022-08-10,II,NRG-BR005: A Phase II Trial Assessing the Accuracy of Tumor Bed Biopsies in Predicting Pathologic Response in Patients with Clinical/Radiologic Complete Response after Neoadjuvant Chemotherapy in Order to Explore the Feasibility of Breast Conserving Treatment Without Surgery,2,,1840 days
Breast,NCG-275415,"levine, e",2016-03-03,2022-05-18,III,A Randomized Phase III Trial of Adjuvant Therapy Comparing Doxorubicin Plus Cyclophosphamide Followed by Weekly Paclitaxel with or without Carboplatin for Node-Positive or High-Risk Node-Negative Triple-Negative Invasive Breast Cancer,3,,2267 days
Other Urinary,N-1497721,"levine, e",2021-07-15,2022-09-12,III,"S1937,A PHASE III RANDOMIZED TRIAL OF ERIBULIN (NSC #707389) WITH OR WITHOUT GEMCITABINE VERSUS STANDARD OF CARE (PHYSICIAN S CHOICE) FOR TREATMENT OF METASTATIC UROTHELIAL CARCINOMA REFRACTORY TO, OR INELIGIBLE FOR, ANTI PD1/PDL1 THERAPY",3,NSC #707389,424 days
Breast,P-622020,"levine, e",2021-02-03,2022-07-11,II,PrE0113:A study to assess overall response rate by inducing an inflammatory phenotype in Metastatic BReast cAnCEr with the Oncolytic Reovirus PeLareorEp in CombinaTion with anti-PD-L1 Avelumab and Paclitaxel BRACELET-1 Study,2,,523 days
Multiple Myeloma,P-612020,"mccarthy, p",2020-11-11,2022-09-14,I,"A PHASE 1, MULTICENTER, OPEN-LABEL STUDY OF CC-98633, BCMA-TARGETED NEX-T CHIMERIC ANTIGEN RECEPTOR (CAR) T CELLS, IN SUBJECTS WITH RELAPSED AND/OR REFRACTORY MULTIPLE MYELOMA",1,CAR,672 days
"Myeloid and Monocytic Leukemia; Leukemia, other",P-2258921,"mccarthy, p",2022-10-17,2023-02-17,I/II,"A PHASE I/II, DOSE-ESCALATION STUDY OF MGTA-117 IN PATIENTS WITH ADULT ACUTE MYELOID LEUKEMIA (AML) AND MYELODYSPLASIA-EXCESS BLASTS (MDS-EB)",-1,AML,123 days
Prostate,P-42116,"mohler, j",2017-08-10,2022-03-15,III,A Phase 3 Study of Androgen Annihilation in High-Risk Biochemically Relapsed Prostate Cancer,3,,1678 days
Colon,N-59217,"mukherjee, s",2018-04-26,2022-05-17,III,(A021502) Randomized Trial of Standard Chemotherapy Alone or Combined with Atezolizumab as Adjuvant Therapy for Patients with Stage III Colon Cancer and Deficient DNA Mismatch,3,A021502,1482 days
Anus,I-76618,"mukherjee, s",2018-12-13,2022-03-25,II,(NCI 9673)  Part B: A Multi-Institutional Phase 2 Study of Nivolumab or Nivolumab in Combination with Ipilimumab in Refractory Metastatic Squamous Cell Carcinoma of the Anal Canal (Amendment),2,NCI 9673,1198 days
Stomach; Esophagus,I-443819,"mukherjee, s",2019-12-10,2022-11-17,II,Use of Trifluridine/tipiracil (TAS-102) and Oxaliplatin as Induction Chemotherapy in Resectable Esophageal and gastroesophageal junction (GEJ) adenocarcinoma,2,TAS-102,1073 days
Stomach; Esophagus,P-781620,"mukherjee, s",2022-03-03,2022-11-28,II/III,"SGNTUC-022: A randomized, double-blind, placebo-controlled, active comparator Phase 2/3 study of tucatinib in combination with trastuzumab, ramucirumab, and paclitaxel in subjects with previously treated, locally-advanced unresectable or metastatic HER2+ gastric or gastroesophageal junction adenocarcinoma (GEC)",-1,GEC,270 days
Lung,N-642120,"prasad, d",2020-08-05,2022-08-16,III,(S1827)MRI Brain Surveillance Alone Versus MRI Surveillance and Prophylactic Cranial Irradiation (PCI): A Randomized Phase III Trial in Small-Cell Lung Cancer (MAVERICK),3,S1827,741 days
Myeloid and Monocytic Leukemia,P-1367721,"przespolewski, a",2022-01-28,2023-02-23,I,"A Phase 1b Study to Evaluate the Safety, Tolerability, and Pharmacokinetics/Pharmacodynamics of MK-0482 in Participants with Relapsed or Refractory Acute Myeloid Leukemia",1,,391 days
"Brain and Nervous System; Melanoma, Skin",N-913820,"puzanov, i",2021-02-23,2022-07-20,II,(S2000) A Randomized Phase 2 Trial of Encorafenib + Binimetinib + Nivolumab vs Ipilimumab + Nivolumab in BRAF-V600 Mutant Melanoma with Brain Metastases,2,S2000,512 days
"Melanoma, Skin",N-1021720,"puzanov, i",2021-02-22,2022-07-20,II,EA6192: A Phase II Study of Biomarker Driven Early Discontinuation of anti-PD-1 Therapy in Patients with Advanced Melanoma (PET-Stop),2,PET-Stop,513 days
Multiple Sites,N-45117,"puzanov, i",2017-06-30,2022-03-09,I/II,(S1609) DART: Dual Anti-CTLA-4 and Anti-PD-1 blockade in Rare Tumors,-1,S1609,1713 days
"Melanoma, Skin",N-84019,"puzanov, i",2019-06-24,2022-05-05,II,(S1801) A PHASE II RANDOMIZED STUDY OF ADJUVANT VERSUS NEOADJUVANT Pembrolizumab (MK-3475) FOR CLINICALLY DETECTABLE STAGE III-IV HIGH RISK MELANOMA,2,S1801,1046 days
Pancreas; Multiple Sites,P-73618,"puzanov, i",2019-02-07,2022-08-31,I,"ADCT-301-103: A Phase 1b, Open-Label, Dose-Escalation and DoseExpansion Study to Evaluate the Safety, Tolerability,
Pharmacokinetics, and Antitumor Activity of Camidanlumab Tesirine
(ADCT-301) as Monotherapy or in Combination in Patients With
Selected Advanced Solid Tumors",1,ADCT-301,1301 days
Multiple Sites,P-719720,"puzanov, i",2021-01-22,2023-02-07,I,"D7880C00001 An Open-label, Phase 1 Study to Assess the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Preliminary Efficacy of MEDI9253, a Recombinant Newcastle Disease Virus Encoding Interleukin-12, in Combination with Durvalumab in Participants with Select Advanced/Metastatic Solid Tumors",1,,746 days
Multiple Sites,P-721020,"puzanov, i",2021-02-19,2022-12-09,I,CI-8993-101 Phase 1 Study of CI-8993 Anti-VISTA Antibody in Patients with Advanced Solid Tumor Malignancies,1,,658 days
"Melanoma, Skin",P-47916,"puzanov, i",2018-04-06,2022-08-03,II,"The PISCES Study: A Multicenter Phase 2, Open-Label Study of Intratumoral Tavokinogene Telseplasmid (tavo, pIL-12) plus Electroporation in Combination with Intravenous Pembrolizumab in Patients with Stage III/IV Melanoma who are Progressing on either Pembrolizumab or Nivolumab Treatment",2,"tavo, pIL-12",1580 days
Multiple,P-553719,"puzanov, i",2020-06-29,2022-11-30,Early Phase I,"ONCR-177-101 A Phase 1, Open-Label, Multicenter, Dose Escalation and Expansion Study of ONCR-177, an Oncolytic Herpes Simplex Virus for Intratumoral Injection, Alone and in Combination with PD-1 Blockade in Adult Subjects with Advanced and/or Refractory Cutaneous, Subcutaneous or Metastatic Nodal Solid Tumors",-1,,884 days
Unknown Sites,I-60717,"quinn, t",2018-08-28,2022-09-14,IV,General Anesthetics in CAncer REsection Surgery (GA-CARES) Trial:  Pragmatic Randomized Trial of Propofol vs Volatile Inhalational Anesthesia,4,GA-CARES,1478 days
Other Respiratory and Intrathoracic Organs,NCG-287516,"rokitka, d",2016-09-21,2021-01-25,II,(COG ALTE1621) Pharmacologic Reversal of Ventricular Remodeling in Childhood Cancer Survivors at Risk for Heart Failure (PREVENT-HF): A Phase 2b Randomized Placebo-Controlled (Carvedilol) Trial,2,COG ALTE1621,1587 days
Other Hematopoietic,N-50517,"ross, m",2018-03-14,2022-10-10,II,(BMT CTN Protocol 1507) Reduced Intensity Conditioning for Haploidentical Bone Marrow Transplantation in Patients with Symptomatic Sickle Cell Disease,2,BMT CTN Protocol 1507,1671 days
Other Hematopoietic,I-905720,"ross, m",2021-06-28,2022-11-09,II,"Randomized, placebo-controlled, phase II trial examining ustekinumab for prevention of graft vs. host disease after allogeneic hematopoietic cell transplantation",2,,499 days
Multiple,P-463719,"ross, m",2021-02-24,2022-02-25,I,"A PHASE Ib, OPEN-LABEL, DOSE-ESCALATION STUDY TO EVALUATE THE SAFETY AND PHARMACOKINETICS OF EFMARODOCOKIN ALFA IN COMBINATION WITH STANDARD OF CARE IN PATIENTS UNDERGOING ALLOGENEIC HEMATOPOIETIC STEM CELL TRANSPLANTATION",1,,366 days
"Myeloid and Monocytic Leukemia; Leukemia, other",P-788620,"ross, m",2022-02-25,2022-05-24,I,Phase 1 Study of Escalating Single and Multiple Doses of Mana 312 (Multi Tumor-Associated Antigen T cells) Administered to Adult Subjects with Acute Myeloid Leukemia or Myelodysplastic Syndrome after Allogeneic Hematopoietic Stem Cell Transplant,1,Multi Tumor-Associated Antigen T cells,88 days
"Lip, Oral Cavity and Pharynx",N-61217,"singh, a",2019-04-04,2022-09-01,II/III,(NRG-HN004) Randomized Phase II/III Trial of Radiotherapy with Concurrent MEDI4736 (Durvalumab) vs. Radiotherapy with Concurrent Cetuximab in Patients with Stage III-IVB Head and Neck Cancer with a Contraindication to Cisplatin,-1,NRG-HN004,1246 days
"Lip, Oral Cavity and Pharynx",I-48917,"singh, a",2018-04-02,2023-02-28,Early Phase I,A Pilot Study of Photoacoustic Imaging (PAI) in H&N Cancer Patients,-1,PAI,1793 days
Lung,I-50717,"singh, a",2017-12-18,2023-01-25,Early Phase I,Three Pilot Studies of Stereotactic Body Radiation Therapy (SBRT) and Surgery in Non-Small Cell Lung Cancer,-1,SBRT,1864 days
Myeloid and Monocytic Leukemia,N-79018,"thompson, j",2018-12-19,2022-10-20,II,(S1712) A Randomized Phase II Study of Ruxolitinib (NSC-752295) in Combination with BCR-ABL Tyrosine Kinase Inhibitors in Chronic Myeloid Leukemia (CML) Patients with Molecular Evidence of Disease,2,S1712,1401 days
Non-Hodgkin's Lymphoma,IC-1197721,"torka, p",2022-02-02,2022-05-23,II,A Phase 2 Study of Acalabrutinib and PI3K delta inhibitor Umbralisib in Combination with Ublituximab (AU2) in Patients with Previously Untreated Mantle Cell Lymphoma,2,AU2,110 days
Non-Hodgkin's Lymphoma; Myeloid and Monocytic Leukemia,I-573919,"torka, p",2020-09-23,2022-04-29,I,An Investigator-Sponsored Phase Ib Trial of Venetoclax and SINE: Selective Inhibition of Nuclear Export in Patients with High Risk Hematologic Malignancies (VICC HEM1755),1,VICC HEM1755,583 days
Myeloid and Monocytic Leukemia,NCG-289616,"twist, c",2017-02-13,2022-04-15,III,(COG AAML1531) Risk-Stratified Therapy for Acute Myeloid Leukemia in Down Syndrome,3,COG AAML1531,1887 days
